label,precision,recall,f1,support,train_count,group
amex,1.0,0.5833333333333334,0.7368421052631579,24,31,Rare (<100)
spain,0.7777777777777778,0.7,0.7368421052631579,30,69,Rare (<100)
palm-oil,0.7777777777777778,0.7,0.7368421052631579,10,30,Rare (<100)
veg-oil,0.8846153846153846,0.6216216216216216,0.7301587301587301,37,87,Rare (<100)
income,1.0,0.5714285714285714,0.7272727272727273,7,9,Rare (<100)
ship,0.8115942028985508,0.6588235294117647,0.7272727272727273,85,184,Common (100–499)
west-germany,0.7364864864864865,0.7171052631578947,0.7266666666666667,152,364,Common (100–499)
soybean,0.7333333333333333,0.7096774193548387,0.7213114754098361,31,75,Rare (<100)
netherlands,0.8888888888888888,0.6037735849056604,0.7191011235955056,53,131,Common (100–499)
james-baker,0.90625,0.5918367346938775,0.7160493827160493,49,104,Common (100–499)
kenya,0.8333333333333334,0.625,0.7142857142857143,8,10,Rare (<100)
gold,0.6875,0.7333333333333333,0.7096774193548387,30,88,Rare (<100)
australia,0.75,0.6716417910447762,0.7086614173228346,67,180,Common (100–499)
malaysia,0.8947368421052632,0.5862068965517241,0.7083333333333334,29,46,Rare (<100)
money-supply,0.7419354838709677,0.6764705882352942,0.7076923076923077,34,121,Common (100–499)
dlr,0.6818181818181818,0.7317073170731707,0.7058823529411765,41,118,Common (100–499)
money-fx,0.6532663316582915,0.7514450867052023,0.6989247311827957,173,488,Common (100–499)
singapore,0.75,0.6521739130434783,0.6976744186046512,23,47,Rare (<100)
alum,0.9230769230769231,0.5454545454545454,0.6857142857142857,22,34,Rare (<100)
venezuela,0.65,0.7222222222222222,0.6842105263157895,18,48,Rare (<100)
gatt,0.7647058823529411,0.6190476190476191,0.6842105263157895,21,47,Rare (<100)
france,0.7684210526315789,0.6083333333333333,0.6790697674418604,120,311,Common (100–499)
bop,0.6896551724137931,0.6666666666666666,0.6779661016949152,30,73,Rare (<100)
switzerland,0.9354838709677419,0.5272727272727272,0.6744186046511628,55,140,Common (100–499)
oilseed,0.725,0.6304347826086957,0.6744186046511628,46,119,Common (100–499)
italy,0.7948717948717948,0.5849056603773585,0.6739130434782609,53,105,Common (100–499)
retail,1.0,0.5,0.6666666666666666,2,23,Rare (<100)
boesky,1.0,0.5,0.6666666666666666,2,9,Rare (<100)
nakasone,0.8181818181818182,0.5625,0.6666666666666666,16,23,Rare (<100)
sorghum,0.75,0.6,0.6666666666666666,10,24,Rare (<100)
zinc,0.875,0.5384615384615384,0.6666666666666666,13,21,Rare (<100)
honduras,0.5,1.0,0.6666666666666666,1,11,Rare (<100)
yeutter,0.8,0.5714285714285714,0.6666666666666666,7,40,Rare (<100)
costa-rica,1.0,0.5,0.6666666666666666,2,17,Rare (<100)
liffe,1.0,0.5,0.6666666666666666,4,7,Rare (<100)
trade,0.5971223021582733,0.7477477477477478,0.664,111,349,Common (100–499)
portugal,1.0,0.46153846153846156,0.631578947368421,13,24,Rare (<100)
pakistan,1.0,0.46153846153846156,0.631578947368421,13,20,Rare (<100)
imf,0.9,0.4864864864864865,0.631578947368421,37,60,Rare (<100)
cpi,0.8235294117647058,0.5,0.6222222222222222,28,69,Rare (<100)
sweden,0.5909090909090909,0.65,0.6190476190476191,20,86,Rare (<100)
finland,0.6666666666666666,0.5714285714285714,0.6153846153846154,7,30,Rare (<100)
iron-steel,0.6666666666666666,0.5714285714285714,0.6153846153846154,14,40,Rare (<100)
lei,0.42857142857142855,1.0,0.6,3,12,Rare (<100)
hong-kong,0.6666666666666666,0.5454545454545454,0.6,33,96,Rare (<100)
meal-feed,1.0,0.42105263157894735,0.5925925925925926,19,30,Rare (<100)
wpi,0.7142857142857143,0.5,0.5882352941176471,10,19,Rare (<100)
tse,0.9230769230769231,0.42857142857142855,0.5853658536585366,28,10,Rare (<100)
nat-gas,0.5862068965517241,0.5666666666666667,0.576271186440678,30,75,Rare (<100)
ivory-coast,1.0,0.4,0.5714285714285714,5,12,Rare (<100)
itc,1.0,0.4,0.5714285714285714,5,5,Rare (<100)
livestock,0.6111111111111112,0.5238095238095238,0.5641025641025641,21,70,Rare (<100)
israel,0.6,0.5,0.5454545454545454,6,19,Rare (<100)
fuel,0.8,0.4,0.5333333333333333,10,13,Rare (<100)
iraq,0.4444444444444444,0.6666666666666666,0.5333333333333333,30,51,Rare (<100)
rapeseed,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,18,Rare (<100)
belgium,0.5,0.5510204081632653,0.5242718446601942,49,156,Common (100–499)
sprinkel,1.0,0.3333333333333333,0.5,3,8,Rare (<100)
gas,0.8571428571428571,0.35294117647058826,0.5,17,38,Rare (<100)
oat,1.0,0.3333333333333333,0.5,6,7,Rare (<100)
el-salvador,1.0,0.3333333333333333,0.5,3,8,Rare (<100)
chirac,1.0,0.3333333333333333,0.5,3,8,Rare (<100)
lse,1.0,0.3333333333333333,0.5,12,15,Rare (<100)
denmark,0.6666666666666666,0.4,0.5,10,41,Rare (<100)
bahrain,1.0,0.3333333333333333,0.5,21,23,Rare (<100)
kuwait,0.6428571428571429,0.391304347826087,0.4864864864864865,23,23,Rare (<100)
soy-meal,0.8,0.3076923076923077,0.4444444444444444,13,13,Rare (<100)
platinum,1.0,0.2857142857142857,0.4444444444444444,7,5,Rare (<100)
pse,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,7,Rare (<100)
cuba,1.0,0.25,0.4,4,10,Rare (<100)
lme,1.0,0.25,0.4,4,8,Rare (<100)
norway,0.75,0.2608695652173913,0.3870967741935484,23,18,Rare (<100)
soy-oil,0.6,0.2727272727272727,0.375,11,14,Rare (<100)
sunseed,1.0,0.2,0.3333333333333333,5,11,Rare (<100)
qatar,1.0,0.2,0.3333333333333333,5,11,Rare (<100)
ase,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,8,Rare (<100)
yen,0.5,0.25,0.3333333333333333,12,36,Rare (<100)
worldbank,0.22857142857142856,0.5333333333333333,0.32,15,62,Rare (<100)
silver,1.0,0.125,0.2222222222222222,8,20,Rare (<100)
lead,0.5,0.14285714285714285,0.2222222222222222,14,15,Rare (<100)
luxembourg,1.0,0.12,0.21428571428571427,25,20,Rare (<100)
pet-chem,1.0,0.08333333333333333,0.15384615384615385,12,20,Rare (<100)
yemen-arab-republic,0.0,0.0,0.0,2,6,Rare (<100)
sun-oil,0.0,0.0,0.0,2,5,Rare (<100)
von-weizsaecker,0.0,0.0,0.0,0,6,Rare (<100)
zaire,0.0,0.0,0.0,2,6,Rare (<100)
syria,0.0,0.0,0.0,1,8,Rare (<100)
tanzania,0.0,0.0,0.0,8,7,Rare (<100)
tea,0.0,0.0,0.0,4,9,Rare (<100)
thatcher,0.0,0.0,0.0,5,14,Rare (<100)
tunisia,0.0,0.0,0.0,1,8,Rare (<100)
unctad,0.0,0.0,0.0,0,9,Rare (<100)
un,0.0,0.0,0.0,4,5,Rare (<100)
austria,0.0,0.0,0.0,6,21,Rare (<100)
zhao-ziyang,0.0,0.0,0.0,2,6,Rare (<100)
uganda,0.0,0.0,0.0,11,5,Rare (<100)
subroto,0.0,0.0,0.0,3,5,Rare (<100)
dmk,0.0,0.0,0.0,4,10,Rare (<100)
strategic-metal,0.0,0.0,0.0,11,16,Rare (<100)
hog,0.0,0.0,0.0,4,12,Rare (<100)
jamaica,0.0,0.0,0.0,2,10,Rare (<100)
ireland,0.0,0.0,0.0,2,16,Rare (<100)
inventories,0.0,0.0,0.0,0,5,Rare (<100)
instal-debt,0.0,0.0,0.0,1,5,Rare (<100)
inro,0.0,0.0,0.0,2,5,Rare (<100)
icahn,0.0,0.0,0.0,0,8,Rare (<100)
cyprus,0.0,0.0,0.0,12,7,Rare (<100)
howard-baker,0.0,0.0,0.0,3,8,Rare (<100)
herrington,0.0,0.0,0.0,1,13,Rare (<100)
lebanon,0.0,0.0,0.0,8,10,Rare (<100)
hawke,0.0,0.0,0.0,2,5,Rare (<100)
guatemala,0.0,0.0,0.0,1,8,Rare (<100)
groundnut,0.0,0.0,0.0,3,5,Rare (<100)
dauster,0.0,0.0,0.0,2,5,Rare (<100)
de-clercq,0.0,0.0,0.0,3,5,Rare (<100)
ghana,0.0,0.0,0.0,3,10,Rare (<100)
delors,0.0,0.0,0.0,1,6,Rare (<100)
du-plessis,0.0,0.0,0.0,1,6,Rare (<100)
l-cattle,0.0,0.0,0.0,2,6,Rare (<100)
libya,0.0,0.0,0.0,2,13,Rare (<100)
stg,0.0,0.0,0.0,0,17,Rare (<100)
papandreou,0.0,0.0,0.0,0,5,Rare (<100)
sse,0.0,0.0,0.0,0,5,Rare (<100)
bolivia,0.0,0.0,0.0,2,20,Rare (<100)
simex,0.0,0.0,0.0,2,5,Rare (<100)
sarney,0.0,0.0,0.0,4,9,Rare (<100)
rape-oil,0.0,0.0,0.0,3,5,Rare (<100)
poland,0.0,0.0,0.0,4,13,Rare (<100)
